diagnosis_code,description,severity_level,service
S42.413B,"Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.414B,"Nondisplaced simple supracondylar fracture without intercondylar fracture of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.415B,"Nondisplaced simple supracondylar fracture without intercondylar fracture of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.416B,"Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.421B,"Displaced comminuted supracondylar fracture without intercondylar fracture of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.422B,"Displaced comminuted supracondylar fracture without intercondylar fracture of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.423B,"Displaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.424B,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.425B,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.426B,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.431B,"Displaced fracture (avulsion) of lateral epicondyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.432B,"Displaced fracture (avulsion) of lateral epicondyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.433B,"Displaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.434B,"Nondisplaced fracture (avulsion) of lateral epicondyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.435B,"Nondisplaced fracture (avulsion) of lateral epicondyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.436B,"Nondisplaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.441B,"Displaced fracture (avulsion) of medial epicondyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.442B,"Displaced fracture (avulsion) of medial epicondyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.443B,"Displaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.444B,"Nondisplaced fracture (avulsion) of medial epicondyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.445B,"Nondisplaced fracture (avulsion) of medial epicondyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.446B,"Nondisplaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.447B,"Incarcerated fracture (avulsion) of medial epicondyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.448B,"Incarcerated fracture (avulsion) of medial epicondyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.449B,"Incarcerated fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.451B,"Displaced fracture of lateral condyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.452B,"Displaced fracture of lateral condyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.453B,"Displaced fracture of lateral condyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.454B,"Nondisplaced fracture of lateral condyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.455B,"Nondisplaced fracture of lateral condyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.456B,"Nondisplaced fracture of lateral condyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.461B,"Displaced fracture of medial condyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.462B,"Displaced fracture of medial condyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.463B,"Displaced fracture of medial condyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.464B,"Nondisplaced fracture of medial condyle of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.465B,"Nondisplaced fracture of medial condyle of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.466B,"Nondisplaced fracture of medial condyle of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.471B,"Displaced transcondylar fracture of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.472B,"Displaced transcondylar fracture of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.473B,"Displaced transcondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.474B,"Nondisplaced transcondylar fracture of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.475B,"Nondisplaced transcondylar fracture of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.476B,"Nondisplaced transcondylar fracture of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.491B,"Other displaced fracture of lower end of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.492B,"Other displaced fracture of lower end of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.493B,"Other displaced fracture of lower end of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.494B,"Other nondisplaced fracture of lower end of right humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.495B,"Other nondisplaced fracture of lower end of left humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.496B,"Other nondisplaced fracture of lower end of unspecified humerus, initial encounter for open fracture",MCC,Injury/Poisoning
S42.90XB,"Fracture of unspecified shoulder girdle, part unspecified, initial encounter for open fracture",MCC,Injury/Poisoning
S42.91XB,"Fracture of right shoulder girdle, part unspecified, initial encounter for open fracture",MCC,Injury/Poisoning
S42.92XB,"Fracture of left shoulder girdle, part unspecified, initial encounter for open fracture",MCC,Injury/Poisoning
S45.001A,"Unspecified injury of axillary artery, right side, initial encounter",MCC,Injury/Poisoning
S45.002A,"Unspecified injury of axillary artery, left side, initial encounter",MCC,Injury/Poisoning
S45.009A,"Unspecified injury of axillary artery, unspecified side, initial encounter",MCC,Injury/Poisoning
S45.011A,"Laceration of axillary artery, right side, initial encounter",MCC,Injury/Poisoning
S45.012A,"Laceration of axillary artery, left side, initial encounter",MCC,Injury/Poisoning
S45.019A,"Laceration of axillary artery, unspecified side, initial encounter",MCC,Injury/Poisoning
S45.091A,"Other specified injury of axillary artery, right side, initial encounter",MCC,Injury/Poisoning
S45.092A,"Other specified injury of axillary artery, left side, initial encounter",MCC,Injury/Poisoning
S45.099A,"Other specified injury of axillary artery, unspecified side, initial encounter",MCC,Injury/Poisoning
S52.001B,"Unspecified fracture of upper end of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.001C,"Unspecified fracture of upper end of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.002B,"Unspecified fracture of upper end of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.002C,"Unspecified fracture of upper end of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.009B,"Unspecified fracture of upper end of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.009C,"Unspecified fracture of upper end of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.021B,"Displaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.021C,"Displaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.022B,"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.022C,"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.023B,"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.023C,"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.024B,"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.024C,"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.025B,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.025C,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.026B,"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.026C,"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.031B,"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.031C,"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.032B,"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.032C,"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.033B,"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.033C,"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.034B,"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.034C,"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.035B,"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.035C,"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.036B,"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.036C,"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.041B,"Displaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.041C,"Displaced fracture of coronoid process of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.042B,"Displaced fracture of coronoid process of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.042C,"Displaced fracture of coronoid process of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.043B,"Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.043C,"Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.044B,"Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.044C,"Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.045B,"Nondisplaced fracture of coronoid process of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.045C,"Nondisplaced fracture of coronoid process of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.046B,"Nondisplaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.046C,"Nondisplaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.091B,"Other fracture of upper end of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.091C,"Other fracture of upper end of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.092B,"Other fracture of upper end of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.092C,"Other fracture of upper end of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.099B,"Other fracture of upper end of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.099C,"Other fracture of upper end of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.101B,"Unspecified fracture of upper end of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.101C,"Unspecified fracture of upper end of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.102B,"Unspecified fracture of upper end of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.102C,"Unspecified fracture of upper end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.109B,"Unspecified fracture of upper end of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.109C,"Unspecified fracture of upper end of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.121B,"Displaced fracture of head of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.121C,"Displaced fracture of head of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.122B,"Displaced fracture of head of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.122C,"Displaced fracture of head of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.123B,"Displaced fracture of head of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.123C,"Displaced fracture of head of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.124B,"Nondisplaced fracture of head of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.124C,"Nondisplaced fracture of head of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.125B,"Nondisplaced fracture of head of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.125C,"Nondisplaced fracture of head of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.126B,"Nondisplaced fracture of head of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.126C,"Nondisplaced fracture of head of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.131B,"Displaced fracture of neck of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.131C,"Displaced fracture of neck of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.132B,"Displaced fracture of neck of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.132C,"Displaced fracture of neck of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.133B,"Displaced fracture of neck of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.133C,"Displaced fracture of neck of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.134B,"Nondisplaced fracture of neck of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.134C,"Nondisplaced fracture of neck of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.135B,"Nondisplaced fracture of neck of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.135C,"Nondisplaced fracture of neck of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.136B,"Nondisplaced fracture of neck of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.136C,"Nondisplaced fracture of neck of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.181B,"Other fracture of upper end of right radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.181C,"Other fracture of upper end of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.182B,"Other fracture of upper end of left radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.182C,"Other fracture of upper end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.189B,"Other fracture of upper end of unspecified radius, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.189C,"Other fracture of upper end of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.201B,"Unspecified fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.201C,"Unspecified fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.202B,"Unspecified fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.202C,"Unspecified fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.209B,"Unspecified fracture of shaft of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.209C,"Unspecified fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.221B,"Displaced transverse fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.221C,"Displaced transverse fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.222B,"Displaced transverse fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.222C,"Displaced transverse fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.223B,"Displaced transverse fracture of shaft of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.223C,"Displaced transverse fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.224B,"Nondisplaced transverse fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.224C,"Nondisplaced transverse fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.225B,"Nondisplaced transverse fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.225C,"Nondisplaced transverse fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.226B,"Nondisplaced transverse fracture of shaft of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.226C,"Nondisplaced transverse fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.231B,"Displaced oblique fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.231C,"Displaced oblique fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.232B,"Displaced oblique fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.232C,"Displaced oblique fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.233B,"Displaced oblique fracture of shaft of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.233C,"Displaced oblique fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.234B,"Nondisplaced oblique fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.234C,"Nondisplaced oblique fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.235B,"Nondisplaced oblique fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.235C,"Nondisplaced oblique fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.236B,"Nondisplaced oblique fracture of shaft of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.236C,"Nondisplaced oblique fracture of shaft of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.241B,"Displaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.241C,"Displaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.242B,"Displaced spiral fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.242C,"Displaced spiral fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.243B,"Displaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.243C,"Displaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.244B,"Nondisplaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.244C,"Nondisplaced spiral fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.245B,"Nondisplaced spiral fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.245C,"Nondisplaced spiral fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.246B,"Nondisplaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.246C,"Nondisplaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.251B,"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.251C,"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.252B,"Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.252C,"Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.253B,"Displaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.253C,"Displaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.254B,"Nondisplaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.254C,"Nondisplaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.255B,"Nondisplaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.255C,"Nondisplaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.256B,"Nondisplaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.256C,"Nondisplaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.261B,"Displaced segmental fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.261C,"Displaced segmental fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.262B,"Displaced segmental fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.262C,"Displaced segmental fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.263B,"Displaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.263C,"Displaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.264B,"Nondisplaced segmental fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.264C,"Nondisplaced segmental fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.265B,"Nondisplaced segmental fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.265C,"Nondisplaced segmental fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.266B,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.266C,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.271B,"Monteggia's fracture of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.271C,"Monteggia's fracture of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.272B,"Monteggia's fracture of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.272C,"Monteggia's fracture of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.279B,"Monteggia's fracture of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.279C,"Monteggia's fracture of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.281B,"Bent bone of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.281C,"Bent bone of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.282B,"Bent bone of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.282C,"Bent bone of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.283B,"Bent bone of unspecified ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.283C,"Bent bone of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.291B,"Other fracture of shaft of right ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.291C,"Other fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
S52.292B,"Other fracture of shaft of left ulna, initial encounter for open fracture type I or II",MCC,Injury/Poisoning
S52.292C,"Other fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",MCC,Injury/Poisoning
