provider_number,case_mix_index,total_cases,total_relative_weights,service
180087,1.4229,519,738.50,Medium Complexity
180088,1.9840,13925,27626.85,Medium-High Complexity
180092,1.5889,737,1171.00,Medium-High Complexity
180093,1.8910,1374,2598.30,Medium-High Complexity
180101,1.4879,340,505.90,Medium Complexity
180102,1.7262,2730,4712.40,Medium-High Complexity
180103,1.8802,4875,9165.89,Medium-High Complexity
180104,1.8140,3040,5514.44,Medium-High Complexity
180105,0.9241,410,378.88,Low Complexity
180115,1.1136,219,243.88,Low-Medium Complexity
180116,1.4828,730,1082.43,Medium Complexity
180124,1.6036,1528,2450.27,Medium-High Complexity
180127,1.5878,930,1476.69,Medium-High Complexity
180128,1.3910,264,367.24,Medium Complexity
180130,1.7955,8401,15083.72,Medium-High Complexity
180132,1.6355,1876,3068.17,Medium-High Complexity
180138,1.6863,323,544.69,Medium-High Complexity
180141,2.2143,2440,5402.94,High Complexity
180143,1.6856,520,876.54,Medium-High Complexity
180149,1.0417,90,93.75,Low-Medium Complexity
180154,1.0448,57,59.55,Low-Medium Complexity
180156,5.9162,11,65.08,High Complexity
190002,2.0508,5407,11088.73,High Complexity
190004,1.6857,1439,2425.71,Medium-High Complexity
190005,2.3919,1079,2580.85,High Complexity
190006,1.4935,471,703.42,Medium Complexity
190007,1.5089,449,677.49,Medium-High Complexity
190008,2.2006,1667,3668.35,High Complexity
190011,1.4897,500,744.83,Medium Complexity
190013,1.6073,510,819.72,Medium-High Complexity
190014,1.4031,276,387.24,Medium Complexity
190015,1.7923,2390,4283.63,Medium-High Complexity
190017,1.9203,1051,2018.25,Medium-High Complexity
190019,1.7047,4099,6987.48,Medium-High Complexity
190020,1.7487,526,919.80,Medium-High Complexity
190025,1.3035,175,228.11,Medium Complexity
190026,2.0656,3404,7031.36,High Complexity
190027,1.8885,2106,3977.25,Medium-High Complexity
190034,1.3895,379,526.60,Medium Complexity
190036,2.0758,6086,12633.51,High Complexity
190039,1.9112,1189,2272.36,Medium-High Complexity
190040,1.6073,2738,4400.71,Medium-High Complexity
190041,1.8109,3575,6474.10,Medium-High Complexity
190044,1.5125,677,1023.98,Medium-High Complexity
190045,1.7988,2729,4908.95,Medium-High Complexity
190046,2.0284,1039,2107.55,High Complexity
190050,1.3860,367,508.66,Medium Complexity
190053,1.4706,562,826.50,Medium Complexity
190054,1.8481,965,1783.46,Medium-High Complexity
190060,1.9108,2399,4584.04,Medium-High Complexity
190064,2.1435,5450,11682.08,High Complexity
190065,2.0745,3337,6922.61,High Complexity
190079,1.1809,127,149.97,Low-Medium Complexity
190086,1.3938,800,1115.03,Medium Complexity
190088,1.1740,193,226.58,Low-Medium Complexity
190090,1.0457,186,194.51,Low-Medium Complexity
190098,2.2805,1887,4303.33,High Complexity
190099,1.2209,230,280.81,Medium Complexity
190102,2.0170,5326,10742.40,High Complexity
190106,1.3295,146,194.11,Medium Complexity
190111,1.8809,8470,15931.35,Medium-High Complexity
190114,1.2519,432,540.81,Medium Complexity
190116,1.1281,163,183.88,Low-Medium Complexity
190118,1.1928,165,196.81,Low-Medium Complexity
190125,1.9704,3863,7611.69,Medium-High Complexity
190128,1.5278,73,111.53,Medium-High Complexity
190133,1.0374,111,115.15,Low-Medium Complexity
190140,1.2183,269,327.73,Medium Complexity
190144,1.5234,556,847.03,Medium-High Complexity
190145,1.0499,137,143.83,Low-Medium Complexity
190151,1.0551,162,170.93,Low-Medium Complexity
190160,1.9116,1518,2901.75,Medium-High Complexity
190164,1.4475,513,742.58,Medium Complexity
190167,1.1915,519,618.38,Low-Medium Complexity
190176,2.0160,3910,7882.48,High Complexity
190183,1.5395,224,344.85,Medium-High Complexity
190184,1.0473,214,224.13,Low-Medium Complexity
190190,1.0698,83,88.80,Low-Medium Complexity
190201,1.3537,154,208.46,Medium Complexity
190202,1.6921,1266,2142.24,Medium-High Complexity
190208,0.8360,84,70.23,Low Complexity
190218,0.9510,150,142.65,Low Complexity
190241,2.7996,25,69.99,High Complexity
190245,1.7761,44,78.15,Medium-High Complexity
190251,3.0814,60,184.89,High Complexity
190255,2.2153,50,110.77,High Complexity
190256,3.0178,89,268.58,High Complexity
190259,3.2765,85,278.51,High Complexity
190266,4.2329,365,1545.00,High Complexity
190267,3.4974,177,619.04,High Complexity
190270,2.8124,106,298.11,High Complexity
190274,1.5796,855,1350.52,Medium-High Complexity
190278,3.7249,432,1609.14,High Complexity
190298,2.3858,128,305.38,High Complexity
190300,1.6062,68,109.22,Medium-High Complexity
190302,2.1768,21,45.71,High Complexity
190303,3.5005,90,315.05,High Complexity
190308,1.2636,169,213.54,Medium Complexity
190312,1.4164,320,453.24,Medium Complexity
190313,1.3716,83,113.84,Medium Complexity
190316,1.3555,279,378.19,Medium Complexity
190317,1.5147,34,51.50,Medium-High Complexity
190318,1.3049,350,456.72,Medium Complexity
200001,1.5090,1175,1773.03,Medium-High Complexity
200008,1.6615,916,1521.91,Medium-High Complexity
200009,2.2063,7143,15759.32,High Complexity
200018,1.4776,503,743.23,Medium Complexity
200019,1.5110,1283,1938.58,Medium-High Complexity
200020,1.4962,875,1309.20,Medium Complexity
200021,1.4790,1296,1916.73,Medium Complexity
200024,1.8486,1738,3212.79,Medium-High Complexity
200031,1.3907,341,474.21,Medium Complexity
200033,2.0320,3827,7776.54,High Complexity
200034,1.5301,451,690.06,Medium-High Complexity
200039,1.5408,1775,2734.98,Medium-High Complexity
200041,1.3255,274,363.19,Medium Complexity
200050,1.4705,499,733.77,Medium Complexity
200063,1.4882,754,1122.11,Medium Complexity
210001,1.5507,6422,9958.40,Medium-High Complexity
210002,3.0030,6255,18784.06,High Complexity
210003,2.0595,2446,5037.53,High Complexity
210004,1.9064,3551,6769.54,Medium-High Complexity
210005,1.5023,6340,9524.78,Medium-High Complexity
210006,1.3399,578,774.47,Medium Complexity
210008,2.1769,2333,5078.71,High Complexity
210009,2.3911,10259,24530.38,High Complexity
210011,1.7364,3383,5874.27,Medium-High Complexity
210012,1.8705,5524,10332.37,Medium-High Complexity
210015,1.7124,6722,11510.88,Medium-High Complexity
210016,1.8406,4002,7366.28,Medium-High Complexity
210017,1.4355,764,1096.71,Medium Complexity
210018,1.6848,3060,5155.37,Medium-High Complexity
210019,1.9119,6326,12094.70,Medium-High Complexity
210022,1.8099,6530,11818.75,Medium-High Complexity
210023,1.5966,9895,15798.36,Medium-High Complexity
210024,2.2735,3920,8912.25,High Complexity
210027,1.7935,4265,7649.23,Medium-High Complexity
210028,1.5724,2146,3374.44,Medium-High Complexity
210029,1.7896,5229,9357.83,Medium-High Complexity
210030,1.2554,292,366.57,Medium Complexity
210032,1.4390,2309,3322.58,Medium Complexity
210033,1.5032,4389,6597.49,Medium-High Complexity
210034,1.4697,2221,3264.20,Medium Complexity
210035,1.7347,2255,3911.70,Medium-High Complexity
210037,1.6103,3340,5378.45,Medium-High Complexity
210038,1.6219,989,1604.05,Medium-High Complexity
210039,1.5418,2168,3342.54,Medium-High Complexity
210040,1.5712,3202,5031.07,Medium-High Complexity
210043,1.7010,5823,9904.75,Medium-High Complexity
210044,1.5177,4583,6955.64,Medium-High Complexity
210048,1.5486,5835,9036.07,Medium-High Complexity
210049,1.6227,5949,9653.28,Medium-High Complexity
210051,1.5673,3375,5289.63,Medium-High Complexity
210056,1.5454,3933,6077.93,Medium-High Complexity
210057,1.6943,5003,8476.60,Medium-High Complexity
210058,1.4322,668,956.68,Medium Complexity
210060,1.4534,865,1257.21,Medium Complexity
210061,1.4723,1630,2399.84,Medium Complexity
210062,1.7786,3214,5716.31,Medium-High Complexity
210063,1.9935,5439,10842.45,Medium-High Complexity
210064,1.5953,664,1059.28,Medium-High Complexity
210065,1.6234,1946,3159.08,Medium-High Complexity
220001,1.3921,2651,3690.58,Medium Complexity
220002,1.7225,2937,5059.12,Medium-High Complexity
220008,1.4641,3390,4963.32,Medium Complexity
220010,1.5169,3264,4951.31,Medium-High Complexity
220011,1.4454,1182,1708.50,Medium Complexity
220012,1.8264,9080,16583.63,Medium-High Complexity
220015,1.5826,2186,3459.66,Medium-High Complexity
220016,1.2532,1620,2030.13,Medium Complexity
220017,1.3847,347,480.50,Medium Complexity
220019,1.3639,1446,1972.21,Medium Complexity
220020,1.5838,2923,4629.50,Medium-High Complexity
220024,1.5289,1762,2693.97,Medium-High Complexity
220029,1.3742,2231,3065.77,Medium Complexity
220030,1.2753,1572,2004.83,Medium Complexity
220031,2.1537,3044,6555.77,High Complexity
220033,1.4742,6727,9916.74,Medium Complexity
220035,1.5407,6911,10647.67,Medium-High Complexity
220036,2.4184,2394,5789.72,High Complexity
220046,1.7157,4937,8470.27,Medium-High Complexity
220049,1.4146,1390,1966.33,Medium Complexity
220052,1.2418,247,306.72,Medium Complexity
220060,1.5800,6044,9549.31,Medium-High Complexity
220062,1.2534,1283,1608.15,Medium Complexity
220063,1.6030,5392,8643.30,Medium-High Complexity
220065,1.2104,1179,1427.11,Medium Complexity
220066,1.6312,1794,2926.31,Medium-High Complexity
220070,1.3855,3112,4311.63,Medium Complexity
220071,2.6746,15412,41220.70,High Complexity
220073,1.4160,2993,4238.22,Medium Complexity
220074,1.7620,11050,19469.85,Medium-High Complexity
220075,1.9753,380,750.63,Medium-High Complexity
220077,2.0095,11649,23409.09,High Complexity
220080,1.4787,2735,4044.30,Medium Complexity
220083,1.4152,2708,3832.28,Medium Complexity
220084,1.4693,2379,3495.36,Medium Complexity
220086,2.3353,10518,24562.32,High Complexity
220088,2.6977,1956,5276.62,High Complexity
220090,1.5053,3766,5668.78,Medium-High Complexity
220095,1.4783,1183,1748.78,Medium Complexity
220098,1.3729,486,667.24,Medium Complexity
220100,1.5183,12676,19246.14,Medium-High Complexity
220101,1.5590,6855,10686.73,Medium-High Complexity
220105,1.4188,4427,6281.21,Medium Complexity
220108,1.4725,3171,4669.38,Medium Complexity
220110,2.7720,12604,34937.90,High Complexity
220111,1.4674,4372,6415.35,Medium Complexity
220116,2.4771,4323,10708.71,High Complexity
220119,1.5149,3499,5300.74,Medium-High Complexity
220135,1.5370,3306,5081.46,Medium-High Complexity
220163,2.0749,10386,21550.38,High Complexity
220171,2.1838,9372,20466.69,High Complexity
220175,1.6194,2121,3434.82,Medium-High Complexity
220176,1.8267,2864,5231.56,Medium-High Complexity
220177,1.1041,266,293.69,Low-Medium Complexity
230002,1.5821,4459,7054.60,Medium-High Complexity
230003,1.4285,320,457.13,Medium Complexity
230005,1.6169,923,1492.39,Medium-High Complexity
230013,1.3664,2,2.73,Medium Complexity
230015,1.1733,240,281.59,Low-Medium Complexity
230017,1.9881,4590,9125.38,Medium-High Complexity
230019,1.8262,6716,12264.79,Medium-High Complexity
230020,1.9460,4272,8313.25,Medium-High Complexity
230021,1.8128,2737,4961.73,Medium-High Complexity
230022,1.3345,525,700.59,Medium Complexity
230024,2.1265,1635,3476.79,High Complexity
230029,1.9227,4179,8035.12,Medium-High Complexity
230030,1.5151,830,1257.57,Medium-High Complexity
230031,1.7471,785,1371.51,Medium-High Complexity
230035,1.3115,481,630.82,Medium Complexity
230036,1.6051,1196,1919.67,Medium-High Complexity
230037,1.5092,298,449.73,Medium-High Complexity
230038,2.2802,7887,17983.74,High Complexity
230041,1.9199,2848,5467.90,Medium-High Complexity
230046,2.3755,8431,20028.17,High Complexity
230047,1.8071,5401,9760.31,Medium-High Complexity
230053,2.4715,5316,13138.28,High Complexity
230054,2.2331,1695,3785.17,High Complexity
230055,1.5238,535,815.23,Medium-High Complexity
230058,1.5052,477,717.98,Medium-High Complexity
230059,1.9027,2216,4216.33,Medium-High Complexity
230066,2.2038,2648,5835.66,High Complexity
230069,1.3972,1103,1541.15,Medium Complexity
230070,1.7858,4604,8222.02,Medium-High Complexity
230071,1.3053,406,529.94,Medium Complexity
230072,1.4547,1050,1527.42,Medium Complexity
230075,1.5290,1975,3019.80,Medium-High Complexity
230077,2.0627,1678,3461.18,High Complexity
230078,2.1428,2,4.29,High Complexity
230080,1.5963,394,628.95,Medium-High Complexity
230081,1.5559,640,995.77,Medium-High Complexity
230085,1.1011,107,117.82,Low-Medium Complexity
230089,1.5964,2260,3607.88,Medium-High Complexity
230092,1.8128,4000,7251.39,Medium-High Complexity
230093,1.2798,454,581.04,Medium Complexity
230095,1.3526,468,633.04,Medium Complexity
230097,2.0980,4967,10420.74,High Complexity
230099,1.6199,1441,2334.28,Medium-High Complexity
230100,1.3588,317,430.74,Medium Complexity
230104,2.2709,1105,2509.37,High Complexity
230105,1.9723,2177,4293.76,Medium-High Complexity
230108,1.4756,277,408.74,Medium Complexity
230110,1.4029,449,629.92,Medium Complexity
230117,2.2242,2223,4944.50,High Complexity
230121,1.5560,844,1313.25,Medium-High Complexity
230130,1.9741,10381,20493.47,Medium-High Complexity
230132,1.9129,1982,3791.31,Medium-High Complexity
230133,1.5218,456,693.94,Medium-High Complexity
230141,1.9596,3504,6866.53,Medium-High Complexity
230142,1.5693,1190,1867.44,Medium-High Complexity
230144,1.5602,26,40.56,Medium-High Complexity
230146,1.6911,2813,4757.11,Medium-High Complexity
230151,1.7409,2702,4704.04,Medium-High Complexity
230156,1.8294,7809,14285.83,Medium-High Complexity
230165,2.0945,4218,8834.75,High Complexity
230167,1.8121,1892,3428.54,Medium-High Complexity
230174,1.2463,162,201.89,Medium Complexity
230176,1.5565,2360,3673.31,Medium-High Complexity
230180,1.2203,300,366.09,Medium Complexity
230193,1.6308,1411,2301.05,Medium-High Complexity
230195,1.8490,3896,7203.75,Medium-High Complexity
230197,1.8636,3128,5829.22,Medium-High Complexity
230207,2.0380,760,1548.90,High Complexity
230208,1.1917,161,191.87,Low-Medium Complexity
230216,1.8428,2208,4068.94,Medium-High Complexity
230217,1.8304,567,1037.82,Medium-High Complexity
230222,1.9842,3524,6992.25,Medium-High Complexity
230227,1.9292,2650,5112.40,Medium-High Complexity
230230,2.0824,3945,8214.88,High Complexity
230236,2.0911,1391,2908.71,High Complexity
230239,1.5024,347,521.33,Medium-High Complexity
230241,1.3032,111,144.66,Medium Complexity
230244,1.7405,1418,2468.01,Medium-High Complexity
230254,1.7975,2523,4534.97,Medium-High Complexity
230259,1.3811,1323,1827.23,Medium Complexity
230264,2.8226,18,50.81,High Complexity
230269,1.6607,9415,15635.56,Medium-High Complexity
230270,1.5363,1341,2060.19,Medium-High Complexity
230273,2.4010,1269,3046.86,High Complexity
230275,0.7853,16,12.57,Low Complexity
230277,1.8883,1525,2879.72,Medium-High Complexity
230279,1.3510,220,297.23,Medium Complexity
230297,3.4633,483,1672.80,High Complexity
230301,1.5295,225,344.13,Medium-High Complexity
230302,1.7147,3503,6006.51,Medium-High Complexity
230303,1.4584,222,323.77,Medium Complexity
240001,2.2111,3799,8400.03,High Complexity
240002,2.2440,5619,12609.04,High Complexity
240004,2.1554,1905,4106.02,High Complexity
240006,1.4514,211,306.26,Medium Complexity
240010,2.7345,16157,44181.48,High Complexity
240014,1.4310,406,580.98,Medium Complexity
240018,1.3897,537,746.27,Medium Complexity
240019,1.4139,641,906.31,Medium Complexity
240020,1.4065,482,677.94,Medium Complexity
240022,1.4185,269,381.58,Medium Complexity
240030,1.8004,690,1242.30,Medium-High Complexity
240036,2.2620,6426,14535.55,High Complexity
240038,2.0536,4997,10262.03,High Complexity
240040,1.3959,546,762.16,Medium Complexity
240043,1.3761,990,1362.30,Medium Complexity
240044,1.1713,316,370.12,Low-Medium Complexity
240047,1.8641,3787,7059.19,Medium-High Complexity
240050,1.5401,586,902.50,Medium-High Complexity
240052,1.5304,383,586.13,Medium-High Complexity
240053,1.7958,5687,10212.56,Medium-High Complexity
240056,1.5115,1518,2294.48,Medium-High Complexity
240057,2.4540,7087,17391.71,High Complexity
240064,1.4186,645,915.02,Medium Complexity
240066,1.7108,1209,2068.33,Medium-High Complexity
240069,1.3152,526,691.78,Medium Complexity
240071,1.3098,578,757.04,Medium Complexity
240075,1.5946,1265,2017.19,Medium-High Complexity
240076,1.4644,496,726.32,Medium Complexity
240078,2.0838,4115,8574.70,High Complexity
240080,2.9721,4251,12634.19,High Complexity
240084,1.5722,570,896.17,Medium-High Complexity
240088,1.5045,691,1039.61,Medium-High Complexity
240093,1.8009,2555,4601.22,Medium-High Complexity
240100,1.6137,1440,2323.69,Medium-High Complexity
240101,1.4015,524,734.37,Medium Complexity
240104,1.5908,1271,2021.96,Medium-High Complexity
240106,2.1260,5677,12069.06,High Complexity
240115,1.7991,5732,10312.65,Medium-High Complexity
240141,1.5254,352,536.94,Medium-High Complexity
240166,1.2613,425,536.04,Medium Complexity
240187,1.3625,524,713.93,Medium Complexity
240206,0.9903,11,10.89,Low Complexity
240207,1.7386,2188,3804.03,Medium-High Complexity
240210,2.0895,2552,5332.40,High Complexity
240213,1.9245,1256,2417.20,Medium-High Complexity
240214,1.7682,1047,1851.35,Medium-High Complexity
250001,2.4302,4734,11504.62,High Complexity
250002,1.1311,321,363.09,Low-Medium Complexity
250004,2.0301,7466,15156.66,High Complexity
250006,1.5631,936,1463.02,Medium-High Complexity
250007,1.7250,531,915.95,Medium-High Complexity
250009,1.6933,2651,4489.06,Medium-High Complexity
250018,0.9938,3,2.98,Low Complexity
250019,1.8257,4297,7845.06,Medium-High Complexity
250020,1.1161,383,427.46,Low-Medium Complexity
250025,1.3057,647,844.76,Medium Complexity
250027,1.0192,149,151.87,Low-Medium Complexity
250031,1.9305,1345,2596.49,Medium-High Complexity
250034,1.8131,4745,8603.26,Medium-High Complexity
250036,1.4195,192,272.55,Medium Complexity
250038,1.4539,326,473.97,Medium Complexity
250040,1.9173,3340,6403.89,Medium-High Complexity
250042,1.4115,143,201.84,Medium Complexity
250043,1.1062,217,240.06,Low-Medium Complexity
250044,1.4264,308,439.32,Medium Complexity
250048,1.9697,6411,12627.50,Medium-High Complexity
250049,1.0202,86,87.74,Low-Medium Complexity
250050,1.6991,460,781.59,Medium-High Complexity
250057,1.6759,615,1030.67,Medium-High Complexity
250058,1.3755,1594,2192.61,Medium Complexity
250061,0.9241,125,115.52,Low Complexity
250067,1.4171,297,420.87,Medium Complexity
250069,1.8891,1335,2521.93,Medium-High Complexity
250072,1.5021,376,564.80,Medium-High Complexity
250077,1.3065,335,437.67,Medium Complexity
250078,2.1138,6798,14369.67,High Complexity
250082,1.6516,790,1304.75,Medium-High Complexity
250084,1.6641,595,990.14,Medium-High Complexity
250085,1.4368,147,211.21,Medium Complexity
250093,1.4902,719,1071.48,Medium Complexity
250094,1.8956,1532,2904.00,Medium-High Complexity
250095,1.1688,125,146.09,Low-Medium Complexity
250096,1.5139,390,590.41,Medium-High Complexity
250097,1.5960,1251,1996.58,Medium-High Complexity
250099,1.2286,276,339.09,Medium Complexity
250100,1.9528,2702,5276.37,Medium-High Complexity
250102,1.9712,6619,13047.57,Medium-High Complexity
250104,1.7971,2539,4562.91,Medium-High Complexity
250117,1.5169,317,480.87,Medium-High Complexity
250123,1.7330,808,1400.29,Medium-High Complexity
250124,1.0880,159,172.99,Low-Medium Complexity
250127,0.9361,32,29.96,Low Complexity
250134,1.0417,49,51.05,Low-Medium Complexity
250136,1.4949,25,37.37,Medium Complexity
250138,2.2240,1347,2995.67,High Complexity
250141,1.7410,4945,8609.08,Medium-High Complexity
250151,1.1487,182,209.06,Low-Medium Complexity
250152,1.5095,7,10.57,Medium-High Complexity
250162,1.3546,275,372.52,Medium Complexity
250167,1.8212,971,1768.42,Medium-High Complexity
250168,1.5761,577,909.40,Medium-High Complexity
250172,1.1158,129,143.93,Low-Medium Complexity
260001,1.7999,2934,5280.95,Medium-High Complexity
260005,1.6098,1579,2541.90,Medium-High Complexity
260006,1.8540,5287,9801.84,Medium-High Complexity
260009,1.5312,963,1474.58,Medium-High Complexity
260011,1.7544,1228,2154.37,Medium-High Complexity
260017,1.6223,1728,2803.32,Medium-High Complexity
260020,1.9092,7291,13920.27,Medium-High Complexity
260022,1.8442,714,1316.78,Medium-High Complexity
260023,1.6190,2341,3790.18,Medium-High Complexity
260024,1.2075,288,347.77,Medium Complexity
260025,1.6764,1908,3198.52,Medium-High Complexity
260027,2.3899,2569,6139.75,High Complexity
260032,2.7059,11486,31079.45,High Complexity
260034,1.2236,131,160.30,Medium Complexity
260040,2.0284,6016,12202.95,High Complexity
260047,1.4334,345,494.52,Medium Complexity
260048,1.6427,735,1207.41,Medium-High Complexity
260052,1.5876,1342,2130.50,Medium-High Complexity
260057,1.1794,467,550.80,Low-Medium Complexity
260059,1.2216,326,398.23,Medium Complexity
260061,1.0281,115,118.23,Low-Medium Complexity
260062,1.4463,1632,2360.40,Medium Complexity
260065,1.9812,6183,12250.00,Medium-High Complexity
260068,2.1130,4595,9709.03,High Complexity
260070,1.0555,88,92.88,Low-Medium Complexity
260074,1.5446,298,460.29,Medium-High Complexity
260077,1.8018,6581,11857.42,Medium-High Complexity
260078,1.5446,1009,1558.47,Medium-High Complexity
260081,1.6874,2258,3810.21,Medium-High Complexity
260085,1.8006,1461,2630.68,Medium-High Complexity
260091,1.6820,1994,3353.87,Medium-High Complexity
260094,1.6019,1338,2143.38,Medium-High Complexity
260095,1.8838,3357,6323.92,Medium-High Complexity
260096,1.9011,5265,10009.19,Medium-High Complexity
260097,1.5250,454,692.35,Medium-High Complexity
260102,1.3926,239,332.82,Medium Complexity
260104,1.9967,2766,5522.89,Medium-High Complexity
260105,2.7699,3048,8442.67,High Complexity
260108,1.9524,6346,12389.89,Medium-High Complexity
260110,1.9922,2080,4143.87,Medium-High Complexity
260113,1.4934,955,1426.24,Medium Complexity
260119,1.6741,2449,4099.94,Medium-High Complexity
260137,1.8352,3836,7040.00,Medium-High Complexity
260138,2.6517,4784,12685.61,High Complexity
260141,2.0353,5888,11983.87,High Complexity
260142,1.1248,422,474.68,Low-Medium Complexity
260160,1.2193,258,314.59,Medium Complexity
260162,1.6249,1036,1683.42,Medium-High Complexity
260163,1.6401,1140,1869.72,Medium-High Complexity
260175,1.4041,670,940.72,Medium Complexity
260176,1.8664,453,845.50,Medium-High Complexity
260177,1.6247,2272,3691.43,Medium-High Complexity
260179,1.8998,5068,9627.98,Medium-High Complexity
260180,1.9490,2458,4790.68,Medium-High Complexity
260183,1.9854,2785,5529.37,Medium-High Complexity
260186,1.6445,1371,2254.63,Medium-High Complexity
260190,1.6321,1627,2655.42,Medium-High Complexity
260191,1.6703,1990,3323.88,Medium-High Complexity
260193,1.5038,830,1248.15,Medium-High Complexity
260195,1.9935,436,869.17,Medium-High Complexity
260200,1.5632,2403,3756.48,Medium-High Complexity
260214,1.5692,752,1180.02,Medium-High Complexity
260216,1.5301,3893,5956.81,Medium-High Complexity
260219,1.5114,939,1419.20,Medium-High Complexity
270003,1.5071,1862,2806.17,Medium-High Complexity
270004,2.2726,5143,11688.15,High Complexity
270012,1.8730,2861,5358.56,Medium-High Complexity
270014,2.4397,3923,9570.85,High Complexity
270017,1.7701,894,1582.46,Medium-High Complexity
270023,1.7792,894,1590.59,Medium-High Complexity
270049,2.2857,3485,7965.76,High Complexity
270051,2.1018,2517,5290.23,High Complexity
270057,1.7098,2078,3552.86,Medium-High Complexity
270074,1.1741,59,69.27,Low-Medium Complexity
270086,1.9598,627,1228.82,Medium-High Complexity
280003,2.1922,9230,20234.39,High Complexity
280009,2.0542,1847,3794.13,High Complexity
280013,2.5527,6611,16875.69,High Complexity
280020,2.0670,1713,3540.69,High Complexity
280023,1.8490,1174,2170.75,Medium-High Complexity
280032,1.5516,815,1264.56,Medium-High Complexity
280040,1.9841,5845,11596.89,Medium-High Complexity
280059,0.8556,1,0.86,Low Complexity
280060,2.3324,3786,8830.33,High Complexity
280061,1.7193,1865,3206.53,Medium-High Complexity
280065,1.5648,1898,2969.97,Medium-High Complexity
280077,1.4021,892,1250.70,Medium Complexity
280081,1.8210,1457,2653.26,Medium-High Complexity
280105,1.3333,382,509.33,Medium Complexity
280111,1.3275,805,1068.67,Medium Complexity
280125,1.8262,1508,2753.84,Medium-High Complexity
280127,2.1967,79,173.54,High Complexity
280128,3.2724,1075,3517.80,High Complexity
280129,2.9661,141,418.23,High Complexity
280130,1.8064,2083,3762.68,Medium-High Complexity
280131,3.4457,223,768.40,High Complexity
280132,1.5114,1878,2838.50,Medium-High Complexity
280133,4.9501,291,1440.48,High Complexity
280134,2.1031,1498,3150.43,High Complexity
280139,1.8228,740,1348.90,Medium-High Complexity
290001,2.1057,8449,17791.09,High Complexity
290003,2.2236,5917,13157.07,High Complexity
290005,1.6269,1387,2256.47,Medium-High Complexity
290007,2.2840,2821,6443.23,High Complexity
290008,1.4114,567,800.28,Medium Complexity
290009,2.1666,2010,4354.95,High Complexity
290012,0.9572,42,40.20,Low Complexity
290019,1.8319,3415,6255.88,Medium-High Complexity
290021,1.8739,2419,4532.95,Medium-High Complexity
290032,1.8688,1233,2304.26,Medium-High Complexity
290039,1.9564,6345,12413.66,Medium-High Complexity
290041,1.6788,3336,5600.62,Medium-High Complexity
290045,1.9551,5091,9953.48,Medium-High Complexity
290046,2.0304,2924,5937.01,High Complexity
290047,2.0718,2793,5786.64,High Complexity
290049,1.6030,1512,2423.75,Medium-High Complexity
290053,1.8983,1542,2927.20,Medium-High Complexity
290054,1.7082,3273,5590.87,Medium-High Complexity
290057,1.6618,3519,5847.91,Medium-High Complexity
290058,1.2512,92,115.11,Medium Complexity
290061,2.3847,898,2141.50,High Complexity
300001,1.9330,4559,8812.38,Medium-High Complexity
300003,2.3989,6927,16617.45,High Complexity
300005,1.5060,1499,2257.51,Medium-High Complexity
300011,1.5740,1874,2949.76,Medium-High Complexity
300012,1.6163,3484,5631.06,Medium-High Complexity
300014,1.4129,305,430.93,Medium Complexity
300017,1.4266,1474,2102.80,Medium Complexity
300018,1.5711,3501,5500.28,Medium-High Complexity
300019,1.6570,1350,2236.91,Medium-High Complexity
300020,1.6254,2432,3953.02,Medium-High Complexity
300023,1.5147,2028,3071.89,Medium-High Complexity
300029,1.8739,3584,6715.94,Medium-High Complexity
300034,2.1241,3751,7967.36,High Complexity
310001,2.5095,9001,22587.68,High Complexity
310002,2.4486,1600,3917.82,High Complexity
310003,1.6190,1420,2298.94,Medium-High Complexity
310005,1.5609,3052,4763.73,Medium-High Complexity
310006,1.8299,1092,1998.29,Medium-High Complexity
310008,1.5980,3604,5759.03,Medium-High Complexity
310009,1.6871,2387,4027.10,Medium-High Complexity
310010,1.5844,4656,7376.91,Medium-High Complexity
310011,1.4252,2594,3696.97,Medium Complexity
310012,1.8195,8361,15212.76,Medium-High Complexity
310014,2.4617,6352,15636.90,High Complexity
310015,2.1795,13277,28936.89,High Complexity
310016,1.6086,573,921.73,Medium-High Complexity
310017,1.5702,4021,6313.90,Medium-High Complexity
310019,2.0786,3607,7497.62,High Complexity
310022,1.4871,9198,13678.28,Medium Complexity
310024,1.8507,1465,2711.22,Medium-High Complexity
310025,1.4652,1071,1569.28,Medium Complexity
310027,1.7874,1203,2150.22,Medium-High Complexity
310028,1.4840,3102,4603.44,Medium Complexity
310029,2.3659,3533,8358.80,High Complexity
310031,2.8954,1263,3656.85,High Complexity
310032,1.6727,4002,6694.02,Medium-High Complexity
310034,1.6962,4256,7218.87,Medium-High Complexity
310038,2.3911,7685,18375.30,High Complexity
310039,1.5805,3105,4907.48,Medium-High Complexity
310040,1.5542,420,652.77,Medium-High Complexity
310041,1.6098,8623,13880.98,Medium-High Complexity
310044,1.7557,2318,4069.76,Medium-High Complexity
310045,1.9239,5007,9633.21,Medium-High Complexity
310047,1.5026,2880,4327.45,Medium-High Complexity
310048,1.5605,4336,6766.29,Medium-High Complexity
310050,1.5495,3677,5697.58,Medium-High Complexity
310051,1.7646,5996,10580.68,Medium-High Complexity
310052,1.6949,6634,11243.68,Medium-High Complexity
310054,1.6590,2948,4890.65,Medium-High Complexity
310057,1.5813,3792,5996.45,Medium-High Complexity
