diagnosis_code,description,cc_status,mdc,ms_drg_list,service
T78.110D,"Other adverse food reactions due to milk and dairy products with tolerance to baked milk, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.110S,"Other adverse food reactions due to milk and dairy products with tolerance to baked milk, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.111A,"Other adverse food reaction due to milk and dairy products with reactivity to baked milk, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.111D,"Other adverse food reaction due to milk and dairy products with reactivity to baked milk, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.111S,"Other adverse food reaction due to milk and dairy products with reactivity to baked milk, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.119A,"Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.119D,"Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.119S,"Other adverse food reaction due to milk and dairy products with baked milk tolerance/reactivity, unspecified, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.120A,"Other adverse food reaction due to egg with tolerance to baked egg, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.120D,"Other adverse food reaction due to egg with tolerance to baked egg, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.120S,"Other adverse food reaction due to egg with tolerance to baked egg, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.121A,"Other adverse food reaction due to egg with reactivity to baked egg, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.121D,"Other adverse food reaction due to egg with reactivity to baked egg, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.121S,"Other adverse food reaction due to egg with reactivity to baked egg, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.129A,"Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.129D,"Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.129S,"Other adverse food reaction due to egg with baked egg tolerance/reactivity, unspecified, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.19XA,"Other adverse food reactions, not elsewhere classified, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.19XD,"Other adverse food reactions, not elsewhere classified, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.19XS,"Other adverse food reactions, not elsewhere classified, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
Z15.05,Genetic susceptibility to malignant neoplasm of fallopian tube(s),N,23,951,Factors Influencing Health Status
Z15.060,Genetic susceptibility to colorectal cancer,N,23,951,Factors Influencing Health Status
Z15.068,Genetic susceptibility to other malignant neoplasm of digestive system,N,23,951,Factors Influencing Health Status
Z15.07,Genetic susceptibility to malignant neoplasm of urinary tract,N,23,951,Factors Influencing Health Status
Z15.3,Genetic susceptibility to kidney disease,N,23,951,Factors Influencing Health Status
Z40.81,Encounter for prophylactic surgery for removal of ovary(s) for persons without known genetic/familial risk factors,N,13,"742, 743, 760, 761",Female Reproductive System
Z40.82,Encounter for prophylactic surgery for removal of fallopian tube(s) for persons without known genetic/familial risk factors,N,13,"742, 743, 760, 761",Female Reproductive System
Z40.89,Encounter for other prophylactic surgery,N,23,951,Factors Influencing Health Status
Z59.861,"Financial insecurity, difficulty paying for utilities",N,23,951,Factors Influencing Health Status
Z59.868,Other specified financial insecurity,N,23,951,Factors Influencing Health Status
Z59.869,"Financial insecurity, unspecified",N,23,951,Factors Influencing Health Status
Z77.31,Contact with and (suspected) exposure to Gulf War theater,N,23,951,Factors Influencing Health Status
Z77.39,Contact with and (suspected) exposure to other war theater,N,23,951,Factors Influencing Health Status
Z80.44,Family history of malignant neoplasm of fallopian tube(s),N,23,951,Factors Influencing Health Status
Z84.11,Family history of APOL1-mediated kidney disease [AMKD],N,23,951,Factors Influencing Health Status
Z84.19,Family history of other disorders of kidney and ureter,N,23,951,Factors Influencing Health Status
Z84.A,Family history of exposure to diethylstilbestrol,N,23,951,Factors Influencing Health Status
Z85.4A,Personal history of malignant neoplasm of fallopian tube(s),N,17,"826, 827, 828, 829, 830, 843, 844, 845",Myeloproliferative Disorders
Z86.00A,Personal history of in-situ neoplasm of the fallopian tube(s),N,23,951,Factors Influencing Health Status
Z91.0110,"Allergy to milk products, unspecified",N,23,951,Factors Influencing Health Status
Z91.0111,Allergy to milk products with tolerance to baked milk,N,23,951,Factors Influencing Health Status
Z91.0112,Allergy to milk products with reactivity to baked milk,N,23,951,Factors Influencing Health Status
Z91.0120,"Allergy to eggs, unspecified",N,23,951,Factors Influencing Health Status
Z91.0121,Allergy to eggs with tolerance to baked egg,N,23,951,Factors Influencing Health Status
Z91.0122,Allergy to eggs with reactivity to baked egg,N,23,951,Factors Influencing Health Status
Z91.B,Personal risk factor of exposure to diethylstilbestrol,N,23,951,Factors Influencing Health Status
